normalized_role,job_count,percentage
Business Analyst,62,31.0
Data Analyst,35,17.5
Data Engineer,30,15.0
Data Scientist,19,9.5
Machine Learning Engineer,18,9.0
Business Intelligence Analyst,3,1.5
Technical Product Analyst,1,0.5
Global Quality Process Development & Data Analytics Leader,1,0.5
BI Developer,1,0.5
"Senior Programmer Analyst, Insight Analytics",1,0.5
Marketing Business Intelligence Manager,1,0.5
Intermediate Analytical Reporting Analyst,1,0.5
Director of Analytics,1,0.5
Oracle Business Intelligence Consultant,1,0.5
Manager of Sustainability Reporting & Analytics,1,0.5
Machine Learning Team Lead,1,0.5
Senior Digital Analytics Specialist (Technical),1,0.5
Manager Resources and Analytics,1,0.5
"Director, Commercial Operations (capital equipment sales effectiveness, enablement, analytics, excellence) (on-site),",1,0.5
"Senior Director, Workforce Planning & Analytics",1,0.5
Sales Director - AI powered Predictive Analytics as a Service at AlgosRus.com!,1,0.5
"Engineering Manager, Analytics",1,0.5
Manager-Talent Acquisition Operations and Analytics,1,0.5
Academic Analytics & Assessment Associate,1,0.5
"Senior Financial Analyst, Business Analytics - Planning &  Strategy",1,0.5
Business Manager - Workplace Analytics,1,0.5
Analytics Manager,1,0.5
Business Analytics Associate,1,0.5
"Director, People Analytics (Remote)",1,0.5
Data Architect,1,0.5
Regulatory Reporting Analyst,1,0.5
Business Director of Advanced Analytics,1,0.5
"Data Science Reporting Analyst  in Columbus, OH",1,0.5
[FINANCE] Business Analytics,1,0.5
Analytics & Data Management - Supply Chain Sector - Senior Manager - Consulting - Location OPEN,1,0.5
Oracle Business Intelligence Techno-Functional Consultant,1,0.5
"Director, Decision Science Analytics – Personal Lines Product Intelligence",1,0.5
Senior Manager of Talent Acquisition Analytics & Business Intelligence (Direct-Hire / Remote),1,0.5
Lead Machine Learning Researcher,1,0.5
